User ID,Movie ID,Rating
1,2,7.9
1,29,7.1
1,32,6.8
1,47,8.5
1,50,6.6
1,112,6.2
1,151,7.8
1,223,7.5
1,253,7.5
1,260,6.9
1,293,6.1
1,296,6.7
1,318,7.3
1,337,6.5
1,367,7.2
1,541,6.6
1,589,8.1
1,593,8.1
1,653,6.7
1,919,6.8
1,924,7.5
1,1009,7
1,1036,6.7
1,1079,7.9
1,1080,6.1
1,1089,7.2
1,1090,7.2
1,1097,7.7
1,1136,8.2
1,1193,5.9
1,1196,7
1,1198,7.8
1,1200,7.8
1,1201,7.3
1,1208,7.2
1,1214,6.5
1,1215,6.5
1,1217,6.8
1,1219,7.3
1,1222,6
1,1240,5.7
1,1243,6.4
1,1246,6.7
1,1249,6.8
1,1258,6.8
1,1259,6.3
1,1261,5.6
1,1262,8.3
1,1266,6.6
1,1278,7.2
1,1291,7
1,1304,8
1,1321,7.8
1,1333,6.3
1,1348,7.3
1,1350,7.3
1,1358,6.6
1,1370,7
1,1374,6.3
1,1387,6.2
1,1525,6.8
1,1584,7.2
1,1750,7.5
1,1848,8.4
1,1920,6.2
1,1967,5.8
1,1994,6.8
1,1997,5.4
1,2021,6.6
1,2100,6.6
1,2118,6.9
1,2138,7.3
1,2140,9
1,2143,8.3
1,2173,6.5
1,2174,7.9
1,2193,7.5
1,2194,4.8
1,2253,5.2
1,2288,6.9
1,2291,5.4
1,2542,7.9
1,2628,6.1
1,2644,5.8
1,2648,8.3
1,2664,7.8
1,2683,7.8
1,2692,7
1,2716,6.1
1,2761,7
1,2762,7.6
1,2804,4.5
1,2872,6.3
1,2918,7.8
1,2944,6.4
1,2947,6.5
1,2959,7.9
1,2968,7.8
1,3000,6.6
1,3030,5.5
1,3037,8.2
1,3081,6.4
1,3153,8.1
1,3265,8.6
1,3438,8.8
1,3476,8.2
1,3479,7.9
1,3489,6.7
1,3499,6.7
1,3889,6.7
1,3932,7.8
1,3996,7.8
1,3997,6.6
1,4011,6.1
1,4027,5.6
1,4105,6.4
1,4128,6.1
1,4133,7.3
1,4226,6.6
1,4306,6.3
1,4446,6.1
1,4467,7.1
1,4571,5.5
1,4720,7.5
1,4754,7.6
1,4878,6.4
1,4896,7.2
1,4911,6.7
1,4915,8
1,4941,8.3
1,4980,6.7
1,4993,5.9
1,5026,6.7
1,5039,6.7
1,5040,7.6
1,5146,7.2
1,5171,7.1
1,5540,8.1
1,5679,6.7
1,5797,7
1,5816,6.9
1,5898,5.1
1,5952,5.8
1,5999,6.2
1,6093,7.4
1,6242,5.8
1,6333,6.2
1,6502,7.3
1,6539,4.2
1,6754,6.9
1,6755,6.4
1,6774,5.4
1,6807,6.7
1,6834,5.8
1,6888,5.8
1,7001,5.8
1,7045,6.9
1,7046,7.2
1,7153,6.9
1,7164,6.1
1,7247,5.5
1,7387,5.5
1,7389,6.6
1,7438,6.1
1,7449,6.3
1,7454,7.2
1,7482,7.4
1,7757,7.3
1,8368,6.1
1,8482,7.7
1,8507,6.1
1,8636,6.1
1,8690,8
1,8961,7.3
1,31696,7.9
2,3,5.5
2,62,5
2,70,7.7
2,110,6.6
2,242,5.7
2,260,5.8
2,266,6
2,469,6.4
2,480,6.9
2,541,6.4
2,589,7.4
2,891,5.5
2,908,5.5
2,924,5.9
2,1121,6.8
2,1196,6.8
2,1210,8.1
2,1214,6.5
2,1249,7.2
2,1259,6.7
2,1270,8.1
2,1327,7.6
2,1356,7.4
2,1544,7.6
2,1580,6.7
2,1673,6.7
2,1748,6.5
2,1965,6.6
2,1969,6.7
2,1970,6.4
2,1971,5.8
2,1972,7.4
2,1973,7.8
2,1974,6.6
2,1986,4.9
2,2291,6.5
2,2454,7.5
2,2455,6.2
2,2791,7.3
2,2858,7.5
2,2948,5.6
2,2951,8.1
2,3150,6.4
2,3159,6.7
2,3173,6.6
2,3450,6.4
2,3513,7.5
2,3534,7.3
2,3555,7.5
2,3565,5.8
2,3703,5.8
2,3753,7.5
2,3917,7.5
2,3918,6.6
2,3923,6.7
2,3926,3.7
2,3927,6
2,3928,6.4
2,3930,6.1
2,3937,6.4
2,3959,5.6
3,1,8
3,24,5.2
3,32,7.1
3,50,4.8
3,160,7
3,173,5.4
3,175,6.6
3,196,6.7
3,223,6.2
3,260,6.2
3,316,6.1
3,318,5.3
3,329,6.3
3,337,7
3,440,7.6
3,442,6.7
3,457,8.1
3,480,6.7
3,490,6.5
3,512,7.3
3,541,5.1
3,589,6
3,593,6.1
3,610,5.9
3,718,5.9
3,780,7.8
3,788,5.8
3,858,6.3
3,904,4.3
3,905,4.3
3,919,6.4
3,924,6.1
3,953,6.5
3,968,7.1
3,1037,6.4
3,1060,6.5
3,1073,6.3
3,1077,7.5
3,1079,4.9
3,1084,5.8
3,1089,6.2
3,1094,5.5
3,1097,5.4
3,1103,5.8
3,1125,7.1
3,1127,5.4
3,1129,3.7
3,1179,6.7
3,1188,7.2
3,1193,8.8
3,1196,5.8
3,1197,5.8
3,1198,6.8
3,1199,3.8
3,1200,7.1
3,1206,7.2
3,1208,5.9
3,1210,7.1
3,1213,8.1
3,1214,6.9
3,1215,6.9
3,1219,4.4
3,1220,6.5
3,1221,8.5
3,1222,7.7
3,1225,7.4
3,1228,8
3,1230,8
3,1240,5.7
3,1242,5.7
3,1247,8.5
3,1257,7
3,1258,7.8
3,1259,7.2
3,1261,6.4
3,1266,5.5
3,1270,6.7
3,1272,6.1
3,1276,8.5
3,1278,6.9
3,1288,7.3
3,1304,6.7
3,1307,6.9
3,1321,5.1
3,1330,6.8
3,1333,6.7
3,1345,6
3,1356,6
3,1372,5.7
3,1373,8
3,1374,8.2
3,1375,5.4
3,1376,7.2
3,1396,7.5
3,1544,7
3,1584,3.3
3,1603,6
3,1653,6
3,1674,7.1
3,1676,5.4
3,1721,6.1
3,1762,5.3
3,1779,5.3
3,1810,2.2
3,1831,7
3,1876,3.8
3,1882,6.9
3,1909,7.2
3,1917,7.3
3,1921,6.3
3,2009,7.5
3,2011,7.6
3,2012,6.8
3,2018,5.2
